release_date,title,overview,popularity,vote_count,vote_average,original_language,genre,poster_url
10-01-2018,Fun Unlimited 31,"A light-hearted story full of humor, chaos, and fun moments.",45.1,4915,5.9,en,Comedy,https://example.com/comedy_0.jpg
20-09-2025,Drama Queen 1,"A light-hearted story full of humor, chaos, and fun moments.",193.79,15503,6.7,en,Comedy,https://example.com/comedy_1.jpg
10-10-2025,Haunted Souls 45,A terrifying experience where dark forces haunt the living.,188.71,17738,7,en,Horror,https://example.com/horror_2.jpg
03-11-2019,Shadow Strike 37,A fearless hero fights against powerful enemies to save lives.,85.78,8921,6.6,hi,Action,https://example.com/action_3.jpg
08-08-2018,Eternal ??? 25,A heartfelt love story filled with emotions and connections.,60.59,6240,7.4,es,Romance,https://example.com/romance_4.jpg
24-10-2020,Underworld 6,"A gripping tale of crime, investigation, and justice.",104.01,10713,7.5,en,Crime,https://example.com/crime_5.jpg
12-11-2017,Night Terror 19,A terrifying experience where dark forces haunt the living.,49.71,5816,6,en,Horror,https://example.com/horror_6.jpg
20-05-2022,Alien Code 35,A futuristic adventure exploring technology and unknown worlds.,125.99,6803,8.2,ja,Sci-Fi,https://example.com/sci-fi_7.jpg
26-10-2017,The Chase 1,A suspenseful story packed with twists and intense moments.,50.17,3562,7.2,en,Thriller,https://example.com/thriller_8.jpg
28-01-2026,Time Loop 33,A futuristic adventure exploring technology and unknown worlds.,200.75,15457,7.7,ja,Sci-Fi,https://example.com/sci-fi_9.jpg
23-11-2016,The Chase 23,A suspenseful story packed with twists and intense moments.,28.63,2433,8.6,en,Thriller,https://example.com/thriller_10.jpg
20-08-2020,War Zone 45,A fearless hero fights against powerful enemies to save lives.,98.19,9426,6.9,en,Action,https://example.com/action_11.jpg
15-08-2021,Deadly Secret 11,A suspenseful story packed with twists and intense moments.,111.24,5895,7.2,ko,Thriller,https://example.com/thriller_12.jpg
05-10-2019,Ishq Story 47,A heartfelt love story filled with emotions and connections.,82.15,9036,7.8,hi,Romance,https://example.com/romance_13.jpg
05-08-2018,Silent Tears 42,"An emotional journey of relationships, struggles, and life lessons.",58.95,4067,7.3,hi,Drama,https://example.com/drama_14.jpg
25-03-2019,Ishq Story 49,A heartfelt love story filled with emotions and connections.,73.09,4897,6.3,hi,Romance,https://example.com/romance_15.jpg
22-12-2024,Love Forever 29,A heartfelt love story filled with emotions and connections.,177.99,10857,7.5,en,Romance,https://example.com/romance_16.jpg
04-07-2023,Fun Unlimited 46,"A light-hearted story full of humor, chaos, and fun moments.",147.51,16521,6.9,en,Comedy,https://example.com/comedy_17.jpg
15-07-2019,Crazy Days 19,"A light-hearted story full of humor, chaos, and fun moments.",72.52,8629,6.5,hi,Comedy,https://example.com/comedy_18.jpg
10-03-2017,Underworld 31,"A gripping tale of crime, investigation, and justice.",37.77,2152,8.4,es,Crime,https://example.com/crime_19.jpg
27-07-2016,City Crime 4,"A gripping tale of crime, investigation, and justice.",23.21,2297,8.6,en,Crime,https://example.com/crime_20.jpg
28-12-2018,Galaxy War 32,A futuristic adventure exploring technology and unknown worlds.,66.73,5872,7,ja,Sci-Fi,https://example.com/sci-fi_21.jpg
20-02-2022,Broken Lives 20,"An emotional journey of relationships, struggles, and life lessons.",124.5,10209,8.2,hi,Drama,https://example.com/drama_22.jpg
30-12-2019,Final Assault 7,A fearless hero fights against powerful enemies to save lives.,84.55,9892,7.8,en,Action,https://example.com/action_23.jpg
08-09-2021,Broken Lives 15,"An emotional journey of relationships, struggles, and life lessons.",115.14,12204,8.5,hi,Drama,https://example.com/drama_24.jpg
12-06-2021,Final Assault 20,A fearless hero fights against powerful enemies to save lives.,107.12,12425,7.2,hi,Action,https://example.com/action_25.jpg
15-10-2024,Galaxy War 12,A futuristic adventure exploring technology and unknown worlds.,172.97,19372,8.4,ja,Sci-Fi,https://example.com/sci-fi_26.jpg
10-05-2023,Silent Tears 38,"An emotional journey of relationships, struggles, and life lessons.",142.08,11508,8.9,en,Drama,https://example.com/drama_27.jpg
18-10-2019,Underworld 15,"A gripping tale of crime, investigation, and justice.",78.42,5881,9.1,en,Crime,https://example.com/crime_28.jpg
18-02-2023,Love Forever 4,A heartfelt love story filled with emotions and connections.,139.5,9486,7.4,hi,Romance,https://example.com/romance_29.jpg
22-07-2018,Galaxy War 4,A futuristic adventure exploring technology and unknown worlds.,62.3,6728,7.2,en,Sci-Fi,https://example.com/sci-fi_30.jpg
30-06-2018,Crazy Days 21,"A light-hearted story full of humor, chaos, and fun moments.",56.78,4258,6.6,hi,Comedy,https://example.com/comedy_31.jpg
27-08-2022,Night Terror 36,A terrifying experience where dark forces haunt the living.,130.93,7201,7.5,en,Horror,https://example.com/horror_32.jpg
18-08-2025,Laugh Riot 39,"A light-hearted story full of humor, chaos, and fun moments.",183.39,11003,5.6,en,Comedy,https://example.com/comedy_33.jpg
